Alabama,Autauga County,0,55395,26943,28452
Alabama,Autauga County,1,3325,1696,1629
Alabama,Autauga County,2,3789,1936,1853
Alabama,Autauga County,3,4231,2105,2126
Alabama,Autauga County,4,3941,2067,1874
Alabama,Autauga County,5,3632,1836,1796
Alabama,Autauga County,6,3376,1677,1699
Alabama,Autauga County,7,3378,1646,1732
Alabama,Autauga County,8,3514,1657,1857
Alabama,Autauga County,9,4115,1993,2122
Alabama,Autauga County,10,3923,1902,2021
Alabama,Autauga County,11,4130,2050,2080
Alabama,Autauga County,12,3524,1649,1875
Alabama,Autauga County,13,2856,1406,1450
Alabama,Autauga County,14,2516,1140,1376
Alabama,Autauga County,15,2048,895,1153
Alabama,Autauga County,16,1483,648,835
Alabama,Autauga County,17,968,410,558
Alabama,Autauga County,18,646,230,416
Alabama,Baldwin County,0,200111,97597,102514
Alabama,Baldwin County,1,11175,5723,5452
Alabama,Baldwin County,2,12478,6351,6127
Alabama,Baldwin County,3,12894,6580,6314
Alabama,Baldwin County,4,12056,6096,5960
Alabama,Baldwin County,5,11174,5737,5437
Alabama,Baldwin County,6,11211,5494,5717
Alabama,Baldwin County,7,11613,5769,5844
Alabama,Baldwin County,8,11705,5721,5984
Alabama,Baldwin County,9,13263,6453,6810
Alabama,Baldwin County,10,13024,6369,6655
Alabama,Baldwin County,11,14604,7027,7577
Alabama,Baldwin County,12,14296,6694,7602
Alabama,Baldwin County,13,13233,6210,7023
Alabama,Baldwin County,14,12647,6025,6622
Alabama,Baldwin County,15,9846,4644,5202
Alabama,Baldwin County,16,6815,3247,3568
Alabama,Baldwin County,17,4243,1974,2269
Alabama,Baldwin County,18,3834,1483,2351
Alabama,Barbour County,0,26887,14354,12533
Alabama,Barbour County,1,1524,764,760
Alabama,Barbour County,2,1683,838,845
Alabama,Barbour County,3,1611,809,802
Alabama,Barbour County,4,1418,754,664
Alabama,Barbour County,5,1854,1087,767
Alabama,Barbour County,6,1947,1203,744
Alabama,Barbour County,7,1903,1193,710
Alabama,Barbour County,8,1581,1011,570
Alabama,Barbour County,9,1790,1042,748
Alabama,Barbour County,10,1774,1042,732
Alabama,Barbour County,11,1945,1006,939
Alabama,Barbour County,12,1720,874,846
Alabama,Barbour County,13,1704,821,883
Alabama,Barbour County,14,1561,715,846
Alabama,Barbour County,15,1089,519,570
Alabama,Barbour County,16,791,343,448
Alabama,Barbour County,17,507,195,312
Alabama,Barbour County,18,485,138,347
Alabama,Bibb County,0,22506,12168,10338
Alabama,Bibb County,1,1203,631,572
Alabama,Bibb County,2,1290,703,587
Alabama,Bibb County,3,1370,749,621
Alabama,Bibb County,4,1321,727,594
Alabama,Bibb County,5,1481,824,657
Alabama,Bibb County,6,1569,951,618
Alabama,Bibb County,7,1623,1033,590
Alabama,Bibb County,8,1531,906,625
Alabama,Bibb County,9,1655,922,733
Alabama,Bibb County,10,1673,912,761
Alabama,Bibb County,11,1667,912,755
Alabama,Bibb County,12,1502,763,739
Alabama,Bibb County,13,1293,667,626
Alabama,Bibb County,14,1157,567,590
Alabama,Bibb County,15,832,394,438
Alabama,Bibb County,16,637,264,373
Alabama,Bibb County,17,385,154,231
Alabama,Bibb County,18,317,89,228
Alabama,Blount County,0,57719,28553,29166
Alabama,Blount County,1,3522,1804,1718
Alabama,Blount County,2,3705,1818,1887
Alabama,Blount County,3,3942,1974,1968
Alabama,Blount County,4,3722,1996,1726
Alabama,Blount County,5,3455,1777,1678
Alabama,Blount County,6,3213,1628,1585
Alabama,Blount County,7,3445,1698,1747
Alabama,Blount County,8,3480,1728,1752
Alabama,Blount County,9,3952,1986,1966
Alabama,Blount County,10,3995,2005,1990
Alabama,Blount County,11,4068,2086,1982
Alabama,Blount County,12,3807,1888,1919
Alabama,Blount County,13,3600,1746,1854
Alabama,Blount County,14,3369,1583,1786
Alabama,Blount County,15,2562,1178,1384
Alabama,Blount County,16,1809,857,952
Alabama,Blount County,17,1157,503,654
Alabama,Blount County,18,916,298,618
Alabama,Bullock County,0,10764,5893,4871
Alabama,Bullock County,1,677,365,312
Alabama,Bullock County,2,699,380,319
Alabama,Bullock County,3,563,287,276
Alabama,Bullock County,4,613,327,286
Alabama,Bullock County,5,751,432,319
Alabama,Bullock County,6,787,475,312
Alabama,Bullock County,7,790,501,289
Alabama,Bullock County,8,676,417,259
Alabama,Bullock County,9,714,428,286
Alabama,Bullock County,10,699,424,275
Alabama,Bullock County,11,756,427,329
Alabama,Bullock County,12,772,403,369
Alabama,Bullock County,13,667,371,296
Alabama,Bullock County,14,536,247,289
Alabama,Bullock County,15,388,168,220
Alabama,Bullock County,16,300,117,183
Alabama,Bullock County,17,197,72,125
Alabama,Bullock County,18,179,52,127
Alabama,Butler County,0,20296,9421,10875
Alabama,Butler County,1,1230,621,609
Alabama,Butler County,2,1357,709,648
Alabama,Butler County,3,1377,739,638
Alabama,Butler County,4,1260,634,626
Alabama,Butler County,5,1197,598,599
Alabama,Butler County,6,1170,506,664
Alabama,Butler County,7,1259,570,689
Alabama,Butler County,8,1204,540,664
Alabama,Butler County,9,1158,536,622
Alabama,Butler County,10,1104,486,618
Alabama,Butler County,11,1418,615,803
Alabama,Butler County,12,1500,736,764
Alabama,Butler County,13,1418,637,781
Alabama,Butler County,14,1134,565,569
Alabama,Butler County,15,803,352,451
Alabama,Butler County,16,673,270,403
Alabama,Butler County,17,493,167,326
Alabama,Butler County,18,541,140,401
Alabama,Calhoun County,0,115916,55880,60036
Alabama,Calhoun County,1,6651,3430,3221
Alabama,Calhoun County,2,7092,3716,3376
Alabama,Calhoun County,3,7332,3765,3567
Alabama,Calhoun County,4,7575,3834,3741
Alabama,Calhoun County,5,8421,4125,4296
Alabama,Calhoun County,6,7801,3808,3993
Alabama,Calhoun County,7,7159,3499,3660
Alabama,Calhoun County,8,6954,3409,3545
Alabama,Calhoun County,9,7061,3448,3613
Alabama,Calhoun County,10,7348,3544,3804
Alabama,Calhoun County,11,8210,3998,4212
Alabama,Calhoun County,12,8355,4001,4354
Alabama,Calhoun County,13,7458,3513,3945
Alabama,Calhoun County,14,6285,2885,3400
Alabama,Calhoun County,15,4551,2088,2463
Alabama,Calhoun County,16,3281,1349,1932
Alabama,Calhoun County,17,2384,892,1492
Alabama,Calhoun County,18,1998,576,1422
Alabama,Chambers County,0,34076,16248,17828
Alabama,Chambers County,1,2016,965,1051
Alabama,Chambers County,2,1956,988,968
Alabama,Chambers County,3,2023,1063,960
Alabama,Chambers County,4,2045,1072,973
Alabama,Chambers County,5,2195,1076,1119
Alabama,Chambers County,6,2009,1001,1008
Alabama,Chambers County,7,1918,915,1003
Alabama,Chambers County,8,1896,907,989
Alabama,Chambers County,9,2140,1040,1100
Alabama,Chambers County,10,2262,1109,1153
Alabama,Chambers County,11,2542,1232,1310
Alabama,Chambers County,12,2509,1176,1333
Alabama,Chambers County,13,2314,1089,1225
Alabama,Chambers County,14,2085,958,1127
Alabama,Chambers County,15,1542,689,853
Alabama,Chambers County,16,1087,498,589
Alabama,Chambers County,17,778,277,501
Alabama,Chambers County,18,759,193,566
Alabama,Cherokee County,0,26037,12959,13078
Alabama,Cherokee County,1,1249,646,603
Alabama,Cherokee County,2,1427,745,682
Alabama,Cherokee County,3,1641,811,830
Alabama,Cherokee County,4,1498,781,717
Alabama,Cherokee County,5,1446,772,674
Alabama,Cherokee County,6,1257,623,634
Alabama,Cherokee County,7,1297,638,659
Alabama,Cherokee County,8,1401,701,700
Alabama,Cherokee County,9,1675,825,850
Alabama,Cherokee County,10,1835,989,846
Alabama,Cherokee County,11,1909,948,961
Alabama,Cherokee County,12,2049,1016,1033
Alabama,Cherokee County,13,1907,951,956
Alabama,Cherokee County,14,1982,973,1009
Alabama,Cherokee County,15,1455,679,776
Alabama,Cherokee County,16,992,483,509
Alabama,Cherokee County,17,571,225,346
Alabama,Cherokee County,18,446,153,293
Alabama,Chilton County,0,43931,21619,22312
Alabama,Chilton County,1,2826,1411,1415
Alabama,Chilton County,2,2999,1520,1479
Alabama,Chilton County,3,3106,1539,1567
Alabama,Chilton County,4,2679,1420,1259
Alabama,Chilton County,5,2769,1396,1373
Alabama,Chilton County,6,2676,1328,1348
Alabama,Chilton County,7,2722,1349,1373
Alabama,Chilton County,8,2879,1407,1472
Alabama,Chilton County,9,2920,1479,1441
Alabama,Chilton County,10,2893,1430,1463
Alabama,Chilton County,11,3069,1562,1507
Alabama,Chilton County,12,3028,1469,1559
Alabama,Chilton County,13,2688,1282,1406
Alabama,Chilton County,14,2290,1104,1186
Alabama,Chilton County,15,1690,793,897
Alabama,Chilton County,16,1186,543,643
Alabama,Chilton County,17,846,346,500
Alabama,Chilton County,18,665,241,424
Alabama,Choctaw County,0,13323,6325,6998
Alabama,Choctaw County,1,657,316,341
Alabama,Choctaw County,2,742,394,348
Alabama,Choctaw County,3,810,433,377
Alabama,Choctaw County,4,813,383,430
Alabama,Choctaw County,5,779,394,385
Alabama,Choctaw County,6,632,314,318
Alabama,Choctaw County,7,716,327,389
Alabama,Choctaw County,8,727,349,378
Alabama,Choctaw County,9,779,362,417
Alabama,Choctaw County,10,892,428,464
Alabama,Choctaw County,11,1038,486,552
Alabama,Choctaw County,12,1017,489,528
Alabama,Choctaw County,13,954,442,512
Alabama,Choctaw County,14,886,389,497
Alabama,Choctaw County,15,723,357,366
Alabama,Choctaw County,16,499,233,266
Alabama,Choctaw County,17,345,117,228
Alabama,Choctaw County,18,314,112,202
Alabama,Clarke County,0,24945,11765,13180
Alabama,Clarke County,1,1387,706,681
Alabama,Clarke County,2,1447,753,694
Alabama,Clarke County,3,1686,815,871
Alabama,Clarke County,4,1731,819,912
Alabama,Clarke County,5,1648,824,824
Alabama,Clarke County,6,1226,590,636
Alabama,Clarke County,7,1405,638,767
Alabama,Clarke County,8,1441,665,776
Alabama,Clarke County,9,1573,729,844
Alabama,Clarke County,10,1662,784,878
Alabama,Clarke County,11,1873,898,975
Alabama,Clarke County,12,1847,863,984
Alabama,Clarke County,13,1534,736,798
Alabama,Clarke County,14,1412,661,751
Alabama,Clarke County,15,1115,510,605
Alabama,Clarke County,16,865,390,475
Alabama,Clarke County,17,578,216,362
Alabama,Clarke County,18,515,168,347
Alabama,Clay County,0,13552,6693,6859
Alabama,Clay County,1,721,397,324
Alabama,Clay County,2,778,410,368
Alabama,Clay County,3,831,442,389
Alabama,Clay County,4,885,473,412
Alabama,Clay County,5,757,383,374
Alabama,Clay County,6,708,320,388
Alabama,Clay County,7,741,361,380
Alabama,Clay County,8,742,365,377
Alabama,Clay County,9,887,446,441
Alabama,Clay County,10,939,470,469
Alabama,Clay County,11,1053,529,524
Alabama,Clay County,12,977,477,500
Alabama,Clay County,13,902,443,459
Alabama,Clay County,14,794,373,421
Alabama,Clay County,15,679,316,363
Alabama,Clay County,16,513,229,284
Alabama,Clay County,17,354,146,208
